,id,user_id, date, text
0,851,961544061,2023-02-23 14:51:55,Источало
1,857,961544061,2023-02-23 14:52:10,Помогало
2,875,961544061,2023-02-23 18:41:59,Ршрлрдрлрлпшп
3,883,961544061,2023-02-24 17:11:43,
4,895,961544061,2023-02-24 17:22:31,kfdlkfj
5,901,961544061,2023-02-24 17:54:48,Я хочу чтобы в школе было много какашечек на полу!
6,944,961544061,2023-02-24 19:05:44,Я люблю писки
7,975,961544061,2023-03-05 16:46:57,Лолик
8,984,5337786296,2023-03-05 16:47:59,Я ХОЧУ ЧТОБЫ В СТОЛОВОЙ БЫЛИ БАНАНЫ
9,1065,961544061,2023-03-05 18:13:52,Торг
